id,pop,species,morph,date,locality,lat,long,sex,embryos,loan,WGS,type,class
UAM59972,BC,Clethrionomys gapperi,,20-Sep-01,"10 km south of Swan Lake, Cassiar Highway",55.69,-128.765,male,,UAM_3,4,ref_gapperi,BC_ref_gapperi
UAM59973,BC,Myodes gapperi,,20-Sep-01,"10 km south of Swan Lake, Cassiar Highway",55.69,-128.765,male,,UAM_3,4,ref_gapperi,BC_ref_gapperi
UAM59974,BC,Myodes gapperi,,20-Sep-01,"10 km south of Swan Lake, Cassiar Highway",55.69,-128.765,male,,UAM_3,4,ref_gapperi,BC_ref_gapperi
UAM59975,BC,Myodes gapperi,,20-Sep-01,"10 km south of Swan Lake, Cassiar Highway",55.69,-128.765,female,,UAM_3,4,ref_gapperi,BC_ref_gapperi
UAM59976,BC,Myodes gapperi,,20-Sep-01,"10 km south of Swan Lake, Cassiar Highway",55.69,-128.765,male,,UAM_3,4,ref_gapperi,BC_ref_gapperi
MSB199119,BC,Myodes rutilus,,15-Aug-03,No specific locality recorded,58.38252778,-129.9187778,female,,MSB_3,4,ref_rutilus,BC_ref_rutilus
MSB199121,BC,Myodes rutilus,,15-Aug-03,No specific locality recorded,58.38252778,-129.9187778,male,,MSB_3,4,ref_rutilus,BC_ref_rutilus
MSB199122,BC,Myodes rutilus,,15-Aug-03,No specific locality recorded,58.38252778,-129.9187778,female,,MSB_3,4,ref_rutilus,BC_ref_rutilus
MSB199126,BC,Myodes rutilus,,15-Aug-03,No specific locality recorded,58.38252778,-129.9187778,male,,MSB_3,4,ref_rutilus,BC_ref_rutilus
MSB199127,BC,Myodes rutilus,,15-Aug-03,No specific locality recorded,58.38252778,-129.9187778,male,,MSB_3,4,ref_rutilus,BC_ref_rutilus
MSB199129,BC,Myodes rutilus,,15-Aug-03,No specific locality recorded,58.38252778,-129.9187778,male,,MSB_3,4,ref_rutilus,BC_ref_rutilus
MSB199132,BC,Myodes rutilus,,15-Aug-03,No specific locality recorded,58.38252778,-129.9187778,female,,MSB_3,4,ref_rutilus,BC_ref_rutilus
MSB199133,BC,Myodes rutilus,,15-Aug-03,No specific locality recorded,58.38252778,-129.9187778,male,,MSB_3,4,ref_rutilus,BC_ref_rutilus
MSB199134,BC,Myodes rutilus,,15-Aug-03,Dalby Creek,58.38252778,-129.9187778,female,,MSB_3,4,ref_rutilus,BC_ref_rutilus
MSB199135,BC,Myodes rutilus,,15-Aug-03,Dalby Creek,58.38252778,-129.9187778,male,,MSB_3,4,ref_rutilus,BC_ref_rutilus
MSB199136,BC,Myodes rutilus,,15-Aug-03,Dalby Creek,58.38252778,-129.9187778,female,,MSB_3,4,ref_rutilus,BC_ref_rutilus
MSB199138,BC,Myodes rutilus,,15-Aug-03,Dalby Creek,58.38252778,-129.9187778,female,,MSB_3,4,ref_rutilus,BC_ref_rutilus
